from_currency,country,flag,to_currency,mid_market_rate,mid_market_receive,best_provider,best_send_rate,best_receive_amount,best_fee,send_amount,last_updated
AUD,Australia,🇦🇺,NPR,N/A,N/A,Wise,108.57,107172.0,12.88,1000,2026-08-17T15:53:56.352810Z
USD,USA,🇺🇸,NPR,N/A,N/A,Wise,152.69,149910.0,18.21,1000,2026-08-17T15:53:56.352810Z
GBP,UK,🇬🇧,NPR,N/A,N/A,Wise,207.009,204496.0,12.14,1000,2026-08-17T15:53:56.352810Z
CAD,Canada,🇨🇦,NPR,N/A,N/A,Wise,110.09,108425.0,15.12,1000,2026-08-17T15:53:56.352810Z
NZD,New Zealand,🇳🇿,NPR,N/A,N/A,Wise,90.2245,89082.0,12.66,1000,2026-08-17T15:53:56.352810Z
EUR,Europe,🇪🇺,NPR,N/A,N/A,Wise,176.914,174497.0,13.66,1000,2026-08-17T15:53:56.352810Z
AED,UAE,🇦🇪,NPR,N/A,N/A,Wise,41.5721,40758.0,19.59,1000,2026-08-17T15:53:56.352810Z
SAR,Saudi Arabia,🇸🇦,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
QAR,Qatar,🇶🇦,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
KWD,Kuwait,🇰🇼,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
BHD,Bahrain,🇧🇭,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
OMR,Oman,🇴🇲,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
JPY,Japan,🇯🇵,NPR,N/A,N/A,Wise,0.9581,669.0,302.0,1000,2026-08-17T15:53:56.352810Z
KRW,South Korea,🇰🇷,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
MYR,Malaysia,🇲🇾,NPR,N/A,N/A,Wise,37.5852,36719.0,23.04,1000,2026-08-17T15:53:56.352810Z
SGD,Singapore,🇸🇬,NPR,N/A,N/A,Wise,119.574,118177.0,11.68,1000,2026-08-17T15:53:56.352810Z
HKD,Hong Kong,🇭🇰,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
CHF,Switzerland,🇨🇭,NPR,N/A,N/A,Wise,188.541,186258.0,12.11,1000,2026-08-17T15:53:56.352810Z
SEK,Sweden,🇸🇪,NPR,N/A,N/A,Wise,16.0799,15637.0,27.54,1000,2026-08-17T15:53:56.352810Z
NOK,Norway,🇳🇴,NPR,N/A,N/A,Wise,16.2159,15818.0,24.56,1000,2026-08-17T15:53:56.352810Z
DKK,Denmark,🇩🇰,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
INR,India,🇮🇳,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
THB,Thailand,🇹🇭,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
ISK,Iceland,🇮🇸,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
ILS,Israel,🇮🇱,NPR,N/A,N/A,N/A,N/A,N/A,N/A,1000,2026-08-17T15:53:56.352810Z
